series_id,season_label,round_number,session_type,session_number,circuit_id,session_datetime_local,sport,discipline,category,planned_duration_minutes,source_url,source_collector,scraped_at
68,2026,2,practice,1,72,2026-06-05T12:50:00+01:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-portimao-2026/,arnav,2026-08-24T02:01:06Z
68,2026,2,practice,2,72,2026-06-05T14:50:00+01:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-portimao-2026/,arnav,2026-08-24T02:01:06Z
68,2026,2,qualifying,1,72,2026-06-06T09:00:00+01:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-portimao-2026/,arnav,2026-08-24T02:01:06Z
68,2026,2,race,1,72,2026-06-06T11:00:00+01:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-portimao-2026/,arnav,2026-08-24T02:01:06Z
68,2026,2,race,2,72,2026-06-06T13:50:00+01:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-portimao-2026/,arnav,2026-08-24T02:01:06Z
68,2026,2,qualifying,2,72,2026-06-07T09:00:00+01:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-portimao-2026/,arnav,2026-08-24T02:01:06Z
68,2026,2,race,3,72,2026-06-07T11:00:00+01:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-portimao-2026/,arnav,2026-08-24T02:01:06Z
68,2026,3,practice,1,734,2026-06-19T13:15:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-motorland-2026/,arnav,2026-08-24T02:01:06Z
68,2026,3,practice,2,734,2026-06-19T17:05:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-motorland-2026/,arnav,2026-08-24T02:01:06Z
68,2026,3,qualifying,1,734,2026-06-20T09:00:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-motorland-2026/,arnav,2026-08-24T02:01:06Z
68,2026,3,race,1,734,2026-06-20T12:20:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-motorland-2026/,arnav,2026-08-24T02:01:06Z
68,2026,3,race,2,734,2026-06-20T16:35:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-motorland-2026/,arnav,2026-08-24T02:01:06Z
68,2026,3,qualifying,2,734,2026-06-21T09:00:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-motorland-2026/,arnav,2026-08-24T02:01:06Z
68,2026,3,race,3,734,2026-06-21T12:55:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-motorland-2026/,arnav,2026-08-24T02:01:06Z
68,2026,4,practice,1,497,2026-08-22T11:30:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-round-4-2026/,arnav,2026-08-24T02:01:06Z
68,2026,4,practice,2,497,2026-08-22T12:10:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-round-4-2026/,arnav,2026-08-24T02:01:06Z
68,2026,4,qualifying,1,497,2026-08-22T14:40:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-round-4-2026/,arnav,2026-08-24T02:01:06Z
68,2026,4,race,1,497,2026-08-22T17:00:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-round-4-2026/,arnav,2026-08-24T02:01:06Z
68,2026,4,qualifying,2,497,2026-08-23T10:00:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-round-4-2026/,arnav,2026-08-24T02:01:06Z
68,2026,4,race,2,497,2026-08-23T11:50:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-round-4-2026/,arnav,2026-08-24T02:01:06Z
68,2026,4,race,3,497,2026-08-23T14:20:00+02:00,motorsport,single_seater,formula_4,,https://f4spain.org/round/f4s-round-4-2026/,arnav,2026-08-24T02:01:06Z
